Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,7.414000,7.416500,7.408000,7.414000,7.414000,0
2019-06-12,7.411000,7.413300,7.408300,7.411000,7.411000,0
2019-06-13,7.409300,7.415300,7.406800,7.409300,7.409300,0
2019-06-14,7.411000,7.412700,7.390600,7.411000,7.411000,0
2019-06-17,7.388900,7.410000,7.388900,7.388900,7.388900,0
2019-06-18,7.403400,7.406000,7.400700,7.403400,7.403400,0
2019-06-19,7.404000,7.405000,7.399000,7.403800,7.403800,0
2019-06-20,7.399600,7.402300,7.397300,7.399600,7.399600,0
2019-06-21,7.400000,7.402200,7.393100,7.400000,7.400000,0
2019-06-24,7.400500,7.401800,7.393400,7.400500,7.400500,0
2019-06-25,7.395000,7.398000,7.391700,7.395000,7.395000,0
2019-06-26,7.395000,7.396400,7.390300,7.395000,7.395000,0
2019-06-27,7.392300,7.396300,7.389400,7.391900,7.391900,0
2019-06-28,7.394000,7.398000,7.385100,7.394000,7.394000,0
2019-07-01,7.393300,7.397300,7.392700,7.393300,7.393300,0
2019-07-02,7.395000,7.397900,7.391400,7.395000,7.395000,0
2019-07-03,7.394000,7.397300,7.391700,7.394000,7.394000,0
2019-07-04,7.396000,7.398300,7.394300,7.396000,7.396000,0
2019-07-05,7.397000,7.399700,7.393200,7.397000,7.397000,0
2019-07-08,7.397000,7.397000,7.390700,7.397000,7.397000,0
2019-07-09,7.393300,7.396000,7.388300,7.393300,7.393300,0
2019-07-10,7.391000,7.393300,7.389400,7.391000,7.391000,0
2019-07-11,7.390300,7.393400,7.389300,7.391000,7.391000,0
2019-07-12,7.391000,7.393000,7.387900,7.392000,7.392000,0
2019-07-15,7.390000,7.393000,7.387300,7.390000,7.390000,0
2019-07-16,7.390000,7.391300,7.385700,7.390000,7.390000,0
2019-07-17,7.388000,7.390300,7.384300,7.388000,7.388000,0
2019-07-18,7.388300,7.389700,7.383700,7.388300,7.388300,0
2019-07-19,7.385300,7.388800,7.373800,7.386000,7.386000,0
2019-07-22,7.238500,7.386300,7.238500,7.378100,7.378100,0
2019-07-23,7.385300,7.386700,7.381300,7.385300,7.385300,0
2019-07-24,7.383000,7.386300,7.375700,7.382600,7.382600,0
2019-07-25,7.382800,7.392300,7.381000,7.382800,7.382800,0
2019-07-26,7.384000,7.386400,7.377700,7.384000,7.384000,0
2019-07-29,7.380000,7.383300,7.375700,7.380000,7.380000,0
2019-07-30,7.378700,7.383800,7.371200,7.378300,7.378300,0
2019-07-31,7.377000,7.383800,7.376300,7.377000,7.377000,0
2019-08-01,7.380400,7.384000,7.378300,7.380400,7.380400,0
2019-08-02,7.380700,7.397300,7.367400,7.380700,7.380700,0
2019-08-05,7.382400,7.441200,7.382400,7.382400,7.382400,0
2019-08-06,7.468500,7.473100,7.375700,7.468500,7.468500,0
2019-08-07,7.381800,7.384300,7.377700,7.381800,7.381800,0
2019-08-08,7.379300,7.380500,7.374700,7.379300,7.379300,0
2019-08-09,7.378000,7.390300,7.376300,7.378000,7.378000,0
2019-08-12,7.385700,7.391600,7.385000,7.385700,7.385700,0
2019-08-13,7.388000,7.392500,7.372500,7.388000,7.388000,0
2019-08-14,7.388400,7.392200,7.384300,7.388400,7.388400,0
2019-08-15,7.385700,7.389700,7.381700,7.385700,7.385700,0
2019-08-16,7.385700,7.388000,7.383400,7.385700,7.385700,0
2019-08-19,7.385000,7.388400,7.382400,7.385000,7.385000,0
2019-08-20,7.375100,7.386700,7.373100,7.374700,7.374700,0
2019-08-21,7.381300,7.383000,7.378000,7.381700,7.381700,0
2019-08-22,7.379300,7.395000,7.375000,7.380000,7.380000,0
2019-08-23,7.391000,7.394600,7.381700,7.390700,7.390700,0
2019-08-26,7.385700,7.394000,7.382700,7.243000,7.243000,0
2019-08-27,7.391500,7.401700,7.389000,7.391500,7.391500,0
